Date Time,Latitude,Longitude,Elevation,Temperature Height (m),Wind Height (m),Total Solar Radiation(MJ),Max Temp(deg C),Min Temp(deg C),Total Rainfall(mm),Average Dewpoint(deg C),Total Wind Run(km/day)
1/1/2000,29.80266,-82.41081,48.768,2,10,9.56,24.76,8.67,,12.28,177.1
1/2/2000,29.80266,-82.41081,48.768,2,10,9.86,25.54,8.62,,12.53,179
1/3/2000,29.80266,-82.41081,48.768,2,10,12.72,26.29,7.11,,12.16,229.3
1/4/2000,29.80266,-82.41081,48.768,2,10,10.4,25.91,14.55,0.76,16.58,592.6
1/5/2000,29.80266,-82.41081,48.768,2,10,14.48,15.41,2.59,,2.07,413.6
1/6/2000,29.80266,-82.41081,48.768,2,10,9.66,23.3,4.52,,10.89,352.6
1/7/2000,29.80266,-82.41081,48.768,2,10,6.72,19.02,10.09,3.81,12.62,221.8
1/8/2000,29.80266,-82.41081,48.768,2,10,9.54,24.43,7.23,,12.37,171.2
1/9/2000,29.80266,-82.41081,48.768,2,10,11.2,25.79,9.38,,14.07,326.6
1/10/2000,29.80266,-82.41081,48.768,2,10,6.51,23.41,12.64,7.62,16.18,500.1
1/11/2000,29.80266,-82.41081,48.768,2,10,14.36,22.87,4.78,0.25,8.12,233.5
1/12/2000,29.80266,-82.41081,48.768,2,10,14.4,25.09,4.58,,6.71,148.2
1/13/2000,29.80266,-82.41081,48.768,2,10,13.21,24.95,2.92,1.02,8.81,328.4
1/14/2000,29.80266,-82.41081,48.768,2,10,15.17,14.62,-2.89,,-4.21,523.9
1/15/2000,29.80266,-82.41081,48.768,2,10,14.48,16.27,-3.98,,-0.85,286.6
1/16/2000,29.80266,-82.41081,48.768,2,10,14.74,20.12,-1.48,,2.61,179
1/17/2000,29.80266,-82.41081,48.768,2,10,4.96,17.14,3.48,,9.28,208.4
1/18/2000,29.80266,-82.41081,48.768,2,10,11.77,21.93,8.2,,12.62,574.4
1/19/2000,29.80266,-82.41081,48.768,2,10,4.02,17.36,12.91,0.51,11.54,304
1/20/2000,29.80266,-82.41081,48.768,2,10,13.16,20.71,7.01,,8.5,743.9
1/21/2000,29.80266,-82.41081,48.768,2,10,15.49,12.01,-2.3,,-6.57,291.2
1/22/2000,29.80266,-82.41081,48.768,2,10,14.87,18.24,-4.5,,-4.16,197.4
1/23/2000,29.80266,-82.41081,48.768,2,10,10.9,23.73,2.39,32,11.1,461.2
1/24/2000,29.80266,-82.41081,48.768,2,10,1.4,15.01,4.81,18.29,9.23,552.3
1/25/2000,29.80266,-82.41081,48.768,2,10,12.62,9.39,-0.03,3.81,-1.71,567.5
1/26/2000,29.80266,-82.41081,48.768,2,10,16.13,6.75,-4.19,2.54,-6.92,383.1
1/27/2000,29.80266,-82.41081,48.768,2,10,15.04,9.3,-5.79,,-7.34,258.3
1/28/2000,29.80266,-82.41081,48.768,2,10,3.55,11.38,1.78,6.35,5,466.3
1/29/2000,29.80266,-82.41081,48.768,2,10,5.11,18.35,9.13,0.25,12.44,330.7
1/30/2000,29.80266,-82.41081,48.768,2,10,9.82,23.06,7.35,11.18,14.02,442
1/31/2000,29.80266,-82.41081,48.768,2,10,5.29,8.36,3.11,2.03,3.9,243.3
2/1/2000,29.80266,-82.41081,48.768,2,10,15.15,14.58,-1.58,,0.8,177.4
2/2/2000,29.80266,-82.41081,48.768,2,10,15.32,16.13,2.82,,1.8,217.2
2/3/2000,29.80266,-82.41081,48.768,2,10,13.75,19.36,1.79,,3.02,248.3
2/4/2000,29.80266,-82.41081,48.768,2,10,16.52,20.36,1.68,,3.32,460.4
2/5/2000,29.80266,-82.41081,48.768,2,10,17.6,11.86,-2.58,,-4.14,304.1
2/6/2000,29.80266,-82.41081,48.768,2,10,17.65,16.35,-4.96,,-3.68,154.9
2/7/2000,29.80266,-82.41081,48.768,2,10,17.13,18.3,-2.22,,1.17,208.2
2/8/2000,29.80266,-82.41081,48.768,2,10,13.7,19.26,1.11,,1.42,141.5
2/9/2000,29.80266,-82.41081,48.768,2,10,16.8,18.83,0.39,,3.12,297.5
2/10/2000,29.80266,-82.41081,48.768,2,10,17.12,21.6,0.37,,2.2,318.2
2/11/2000,29.80266,-82.41081,48.768,2,10,12.25,22.25,4.58,,10.63,416.3
2/12/2000,29.80266,-82.41081,48.768,2,10,9.07,22.76,11.37,,13.3,459
2/13/2000,29.80266,-82.41081,48.768,2,10,12.87,24.58,9.88,,12.74,299.3
2/14/2000,29.80266,-82.41081,48.768,2,10,3.4,20.35,15.72,14.48,16.57,516.9
2/15/2000,29.80266,-82.41081,48.768,2,10,18.67,23.21,6.83,,8.2,317.3
2/16/2000,29.80266,-82.41081,48.768,2,10,16.7,27.07,4.58,,9.04,215.5
2/17/2000,29.80266,-82.41081,48.768,2,10,16.4,27.3,9.56,,12.39,224.3
2/18/2000,29.80266,-82.41081,48.768,2,10,16.72,26.27,9.88,,13.05,301.1
2/19/2000,29.80266,-82.41081,48.768,2,10,11.14,25.75,13.78,,17.26,497.4
2/20/2000,29.80266,-82.41081,48.768,2,10,19.52,20.34,4.91,,6.76,384.4
2/21/2000,29.80266,-82.41081,48.768,2,10,19.46,18.14,-0.52,,2.79,294.7
2/22/2000,29.80266,-82.41081,48.768,2,10,17.47,20.3,4.45,,6.78,437
2/23/2000,29.80266,-82.41081,48.768,2,10,14.4,22.46,6.33,,10.81,401.8
2/24/2000,29.80266,-82.41081,48.768,2,10,16.42,24.93,7.46,,11.2,343.3
2/25/2000,29.80266,-82.41081,48.768,2,10,15.32,25.38,6.52,,10.62,328
2/26/2000,29.80266,-82.41081,48.768,2,10,14.26,24.28,6.52,,10.59,294.9
2/27/2000,29.80266,-82.41081,48.768,2,10,11.88,25.96,10.87,1.78,13.53,429
2/28/2000,29.80266,-82.41081,48.768,2,10,20.02,22.13,7.78,,10.23,283.5
2/29/2000,29.80266,-82.41081,48.768,2,10,19.76,25.84,4.26,,8.6,251.4
3/2/2000,29.80266,-82.41081,48.768,2,10,12.2,26.4,14.93,,15.74,462.4
3/3/2000,29.80266,-82.41081,48.768,2,10,18.96,26.4,12.79,,12.49,372.6
3/4/2000,29.80266,-82.41081,48.768,2,10,13.68,25,9.57,4.06,13.73,612
3/5/2000,29.80266,-82.41081,48.768,2,10,18.47,24.42,4.38,0.25,7.57,162.2
3/6/2000,29.80266,-82.41081,48.768,2,10,17.35,24.95,5.2,,8.02,193.5
3/7/2000,29.80266,-82.41081,48.768,2,10,19.17,25.18,5.21,,8.18,340.8
3/8/2000,29.80266,-82.41081,48.768,2,10,19.52,26.75,6.76,,9.88,176.8
3/9/2000,29.80266,-82.41081,48.768,2,10,16.33,27.36,12.39,,13.16,336.3
3/10/2000,29.80266,-82.41081,48.768,2,10,18.26,27.1,9.58,,12.44,216.1
3/11/2000,29.80266,-82.41081,48.768,2,10,17.67,27.34,10.44,0.76,13.93,439.7
3/12/2000,29.80266,-82.41081,48.768,2,10,23.07,20.3,3.37,1.27,6.12,451.9
3/13/2000,29.80266,-82.41081,48.768,2,10,23.24,22.31,-1.39,,2,260.5
3/14/2000,29.80266,-82.41081,48.768,2,10,20.58,22.95,4.06,,9.77,430.1
3/15/2000,29.80266,-82.41081,48.768,2,10,19.41,25.28,8.41,,11.77,488.4
3/16/2000,29.80266,-82.41081,48.768,2,10,12.16,28.18,16.79,1.78,17.27,564.9
3/17/2000,29.80266,-82.41081,48.768,2,10,9.56,23.14,13.09,,15.79,325.5
3/18/2000,29.80266,-82.41081,48.768,2,10,14.75,21.97,10.61,0.25,14.84,479.3
3/19/2000,29.80266,-82.41081,48.768,2,10,8.17,22.36,15.56,1.78,14.21,577.4
3/20/2000,29.80266,-82.41081,48.768,2,10,18.9,25.56,8.26,1.52,13.24,462.1
3/21/2000,29.80266,-82.41081,48.768,2,10,24.13,28.23,4.83,,7.12,169.5
3/22/2000,29.80266,-82.41081,48.768,2,10,19.94,25.82,9.15,,11.12,271.8
3/23/2000,29.80266,-82.41081,48.768,2,10,17.58,19.86,6.02,,10.01,419.7
3/24/2000,29.80266,-82.41081,48.768,2,10,20.86,25.09,9.05,,11.85,342.7
3/25/2000,29.80266,-82.41081,48.768,2,10,18.63,27.07,6.02,,11.18,217.1
3/26/2000,29.80266,-82.41081,48.768,2,10,12.68,25.41,14.59,13.72,15.96,339.8
3/27/2000,29.80266,-82.41081,48.768,2,10,13,23.73,15.27,5.33,16.57,563.6
3/28/2000,29.80266,-82.41081,48.768,2,10,24.26,24.77,11.21,0.76,10.31,419.5
3/29/2000,29.80266,-82.41081,48.768,2,10,22.7,29.32,8.51,,10.47,248.8
3/30/2000,29.80266,-82.41081,48.768,2,10,7.14,26.5,15.22,0.25,18.38,414.8
3/31/2000,29.80266,-82.41081,48.768,2,10,13.08,24.76,15.42,,17.53,326.4
4/1/2000,29.80266,-82.41081,48.768,2,10,19.32,26.5,15.13,,16.69,550.2
4/2/2000,29.80266,-82.41081,48.768,2,10,19.15,28.3,16.11,,16.83,336.7
4/3/2000,29.80266,-82.41081,48.768,2,10,21.2,27.23,17.38,,16.38,546.5
4/4/2000,29.80266,-82.41081,48.768,2,10,12.95,22.06,10.55,1.52,12.67,564.1
4/5/2000,29.80266,-82.41081,48.768,2,10,26.26,19.67,1.54,,-0.18,256
4/6/2000,29.80266,-82.41081,48.768,2,10,24.94,24.8,1.69,,4.76,242.2
4/7/2000,29.80266,-82.41081,48.768,2,10,22.48,25.95,5.56,,8.45,192.1
4/8/2000,29.80266,-82.41081,48.768,2,10,17.72,25.87,7.57,3.56,10.48,548.5
4/9/2000,29.80266,-82.41081,48.768,2,10,26.77,20.51,3.32,,-0.1,345
4/10/2000,29.80266,-82.41081,48.768,2,10,25.42,24.09,-0.68,,4.14,288.2
4/11/2000,29.80266,-82.41081,48.768,2,10,20.8,26.36,6.38,,10.5,271.6
4/12/2000,29.80266,-82.41081,48.768,2,10,20.45,28.13,10.95,,12.32,212.9
4/13/2000,29.80266,-82.41081,48.768,2,10,17.73,28.05,10.87,,14.09,286.7
4/14/2000,29.80266,-82.41081,48.768,2,10,4.87,16.39,12.49,14.22,13.5,388.2
4/15/2000,29.80266,-82.41081,48.768,2,10,16.02,25.24,12.16,1.02,15.11,177.6
4/16/2000,29.80266,-82.41081,48.768,2,10,23.15,29.02,12.82,,14.83,173.6
4/17/2000,29.80266,-82.41081,48.768,2,10,24.03,28,13.66,,15.43,528.4
4/18/2000,29.80266,-82.41081,48.768,2,10,26.75,25.25,11.98,,11.61,454.5
4/19/2000,29.80266,-82.41081,48.768,2,10,26.62,28.1,8.36,,11.75,218.1
4/20/2000,29.80266,-82.41081,48.768,2,10,24.99,29.78,10.13,,13.17,227.1
4/21/2000,29.80266,-82.41081,48.768,2,10,21.47,27.35,15.11,,16.26,656
4/22/2000,29.80266,-82.41081,48.768,2,10,26.98,24.65,8.67,,6.63,387.8
4/23/2000,29.80266,-82.41081,48.768,2,10,21.61,26.21,4.58,,6.88,199.7
4/24/2000,29.80266,-82.41081,48.768,2,10,15.05,27.34,9.22,3.3,15.93,657.1
4/25/2000,29.80266,-82.41081,48.768,2,10,26.82,24.07,11.53,,12.92,738.9
4/26/2000,29.80266,-82.41081,48.768,2,10,21,23.63,8.38,3.05,9.53,276.8
4/27/2000,29.80266,-82.41081,48.768,2,10,25.96,26.5,6.45,,8.86,343.4
4/28/2000,29.80266,-82.41081,48.768,2,10,9.64,23.96,14.99,2.03,16.36,680.7
4/29/2000,29.80266,-82.41081,48.768,2,10,26.91,26.31,10.7,,10.78,217.1
4/30/2000,29.80266,-82.41081,48.768,2,10,27.54,27.6,7.59,,8.21,342.4
5/1/2000,29.80266,-82.41081,48.768,2,10,24,28.55,6.54,,10.82,291.1
5/2/2000,29.80266,-82.41081,48.768,2,10,21.35,29.57,11.42,,13.54,233.5
5/3/2000,29.80266,-82.41081,48.768,2,10,24.75,29.18,12.48,,13.18,380.4
5/4/2000,29.80266,-82.41081,48.768,2,10,20.33,28.58,10.4,,14.52,408.1
5/5/2000,29.80266,-82.41081,48.768,2,10,23.27,28.86,13.02,,13.51,353.7
